No,Media,Bitly Link,Link Artikel
1,Detik,,
2,Okezone,http://bit.ly/privy-okezone,https://techno.okezone.com/read/2021/03/09/16/2374961/prvyid-aplikasi-tanda-tangan-digital-karya-anak-bangsa-dengan-pembuktian-tertinggi
3,Tribun,http://bit.ly/privy-tribun,https://www.tribunnews.com/techno/2021/03/09/privyid-kenalkan-teknologi-tanda-tangan-digital-dengan-pembuktian-tertinggi
4,Warta Ekonomi,http://bit.ly/privy-warta-ekonomi,https://www.wartaekonomi.co.id/read331306/privyid-hadirkan-tanda-tangan-digital-dengan-kekuatan-pembuktian-tertinggi
5,Republika,,
6,Jawa Pos,,
7,Sindo,,
8,Kontan,,
9,Infokomputer.grid.id,http://bit.ly/privy-infokomputer,https://infokomputer.grid.id/read/122593179/privyid-hadirkan-tanda-tangan-digital-dengan-pembuktian-tertinggi?page=all
10,Suara,,
11,Kompas,,
12,Liputan6,,
13,Merdeka,,
14,Bisnis,,
15,Investor daily,http://bit.ly/privy-investor-daily,https://investor.id/it-and-telecommunication/privyid-hadirkan-tanda-tangan-digital-dengan-kekuatan-pembuktian-tertinggi
16,Beritasatu,,
17,Swa,,
18,Tempo,,
19,Viva,,
20,JPNN,,